_id,value
"! !",734.0
"! $",3.0
"! *",3.0
"! **Pad",1.0
"! *Food",1.0
"! *Theyre",1.0
"! A",20.0
"! AJI",1.0
"! AND",1.0
"! ASK",1.0
"! AYKM",1.0
"! Absolutely",1.0
"! Actually",2.0
"! Add",3.0
"! Adding",1.0
"! Additional",1.0
"! After",8.0
"! All",11.0
"! Along",1.0
"! Also",12.0
"! Although",2.0
"! Always",1.0
"! Amazing",3.0
"! Ambience",1.0
"! An",1.0
"! And",35.0
"! Another",2.0
"! Anyway",1.0
"! Anyways",6.0
"! Apparently",1.0
"! Arriving",1.0
"! As",21.0
"! At",7.0
"! Atmosphere",1.0
"! Authentic",1.0
"! Avoid",1.0
"! Awesome",6.0
"! BTW",3.0
"! Bboy",1.0
"! Be",3.0
"! Beans",4.0
"! Beautiful",2.0
"! Being",2.0
"! Besides",1.0
"! Best",3.0
"! Better",1.0
"! Big",2.0
"! Bliss",1.0
"! Bon",1.0
"! Bonus",2.0
"! Both",3.0
"! Brat",1.0
"! Brilliant",1.0
"! Btw",1.0
"! Building",1.0
"! Bummer",1.0
"! Bungalow",1.0
"! Burger",1.0
"! But",21.0
"! Butand",1.0
"! By",1.0
"! Cabernet",2.0
"! Can",2.0
"! Cant",5.0
"! Carne",1.0
"! Cartel",1.0
"! Chain",1.0
"! Check",4.0
"! Checkin",1.0
"! Cheers",2.0
"! Chicken",2.0
"! Chill",1.0
"! Chorizo",1.0
"! Chutney",3.0
"! Cibo",2.0
"! Classic",2.0
"! Clean",1.0
"! Combination",1.0
"! Comer",1.0
"! Cool",3.0
"! Crazy",1.0
"! Crispy",1.0
"! Crudo",1.0
"! Cuddling",2.0
"! Culvers",2.0
"! Cute",2.0
"! D",1.0
"! DING",1.0
"! DO",1.0
"! Damon",1.0
"! Daniel",1.0
"! Debra",1.0
"! Definitely",4.0
"! Delicious",3.0
"! Deliciously",1.0
"! Delish",1.0
"! Despite",1.0
"! Devine",1.0
"! Did",1.0
"! Dim",1.0
"! Dinner",1.0
"! Dino",1.0
"! Do",2.0
"! Dont",6.0
"! Dosent",1.0
"! Downstairs",2.0
"! Dragon",1.0
"! Drink",2.0
"! Droves",1.0
"! Duck",1.0
"! EAT",1.0
"! ENJOY",2.0
"! Eba",3.0
"! Edamame",1.0
"! Edit",1.0
"! Enjoy",5.0
"! Enough",2.0
"! Entering",1.0
"! Esther",1.0
"! Even",10.0
"! Ever",1.0
"! Every",1.0
"! Everyone",1.0
"! Everything",3.0
"! Exactly",1.0
"! Extensive",2.0
"! Extra",1.0
"! Extremely",1.0
"! F",1.0
"! FINALLY",1.0
"! FYI",3.0
"! Fancy",1.0
"! Fantastic",2.0
"! Farrellis",1.0
"! Filet",1.0
"! Finally",7.0
"! First",7.0
"! Five",3.0
"! Flowing",1.0
"! Food",6.0
"! For",13.0
"! Forget",2.0
"! Fortunately",1.0
"! Friendly",1.0
"! Fries",1.0
"! From",6.0
"! Fun",1.0
"! Gar",1.0
"! Get",5.0
"! Give",1.0
"! Giving",2.0
"! Go",4.0
"! God",2.0
"! Good",10.0
"! Gordon",1.0
"! Gorgeous",1.0
"! Got",4.0
"! Great",22.0
"! Green",1.0
"! Groovy",2.0
"! Guy",1.0
"! HUGE",2.0
"! Had",7.0
"! Hands",1.0
"! Hanging",1.0
"! Happy",1.0
"! Hardest",2.0
"! He",10.0
"! Heard",1.0
"! Heavenly",1.0
"! Hefe",1.0
"! Hell",1.0
"! Helpful",1.0
"! Her",1.0
"! Here",5.0
"! Heres",1.0
"! Highlights",1.0
"! Highly",3.0
"! His",1.0
"! Homey",1.0
"! Honesty",1.0
"! Hot",2.0
"! Hottie",1.0
"! How",6.0
"! However",5.0
"! Huauchinango",1.0
"! Huge",2.0
"! I",352.0
"! IT",1.0
"! Ice",1.0
"! Id",3.0
"! If",28.0
"! Ill",6.0
"! Im",19.0
"! In",12.0
"! Inside",1.0
"! Instead",1.0
"! Iruna",1.0
"! Is",3.0
"! It",71.0
"! Italian",1.0
"! Its",38.0
"! Ive",20.0
"! Jared",1.0
"! Just",10.0
"! Kafta",1.0
"! Kathy",1.0
"! Kevin",1.0
"! Kick",2.0
"! Kidding",1.0
"! LOL",3.0
"! LOVE",3.0
"! La",1.0
"! Laissez",1.0
"! Lalibela",1.0
"! Large",2.0
"! Last",3.0
"! Lastly",3.0
"! Later",1.0
"! Latitude",2.0
"! Like",2.0
"! Liked",1.0
"! Loaded",1.0
"! Located",1.0
"! Looking",1.0
"! Looks",1.0
"! Love",10.0
"! Loved",3.0
"! Low",2.0
"! Luckily",1.0
"! Lunch",2.0
"! M",1.0
"! MY",1.0
"! Mainly",1.0
"! Man",1.0
"! Mango",1.0
"! Many",1.0
"! Mark",1.0
"! Marly",1.0
"! Matt",1.0
"! Maybe",4.0
"! Me",1.0
"! Melets",1.0
"! Memorable",1.0
"! Menu",2.0
"! Mine",2.0
"! Minor",1.0
"! Mixed",1.0
"! Modern",1.0
"! Molto",1.0
"! More",1.0
"! Most",2.0
"! Moving",1.0
"! Much",1.0
"! Mushroom",1.0
"! My",58.0
"! NOTE",1.0
"! Nachos",1.0
"! Needless",2.0
"! Negative",1.0
"! Negatives",1.0
"! Neighborhood",2.0
"! Nestled",1.0
"! New",1.0
"! Next",4.0
"! Nice",8.0
"! Night",1.0
"! Nigiri",1.0
"! No",11.0
"! None",2.0
"! Noodle",2.0
"! Normally",1.0
"! Not",12.0
"! Note",1.0
"! Nourish",1.0
"! Now",10.0
"! Number",1.0
"! O",1.0
"! OFF",2.0
"! OH",1.0
"! OK",3.0
"! OMG",6.0
"! OR",1.0
"! Oh",18.0
"! Ok",1.0
"! On",5.0
"! Once",1.0
"! One",6.0
"! Only",5.0
"! Opa",1.0
"! Order",1.0
"! Our",18.0
"! Out",2.0
"! Outside",1.0
"! Outstanding",1.0
"! Over",1.0
"! Overall",6.0
"! PS",3.0
"! Pancakes",1.0
"! Parking",1.0
"! Pasta",1.0
"! Patio",2.0
"! People",1.0
"! Perfect",3.0
"! Perfectly",1.0
"! Perhaps",2.0
"! Pho",2.0
"! Pick",1.0
"! Picture",1.0
"! Piping",1.0
"! Pizza",1.0
"! Plates",2.0
"! Please",1.0
"! Plenty",2.0
"! Plus",1.0
"! Portions",1.0
"! Postinos",1.0
"! Potato",1.0
"! Practice",1.0
"! Priced",1.0
"! Prices",1.0
"! Pulled",1.0
"! Put",1.0
"! Quick",1.0
"! Quite",1.0
"! REALLY",1.0
"! Razz",2.0
"! Real",2.0
"! Really",5.0
"! Reasonably",2.0
"! Recently",1.0
"! Recommendation",1.0
"! Regardless",1.0
"! Restaurant",1.0
"! Revamped",1.0
"! Ridiculous",1.0
"! Right",1.0
"! Roaring",2.0
"! Roasted",2.0
"! Rula",2.0
"! SO",1.0
"! SPECIALS",1.0
"! STOLI",1.0
"! Sabanot",1.0
"! Sake",1.0
"! Save",1.0
"! Saw",1.0
"! Score",2.0
"! Second",3.0
"! See",2.0
"! Seems",2.0
"! Seriously",2.0
"! Served",1.0
"! Service",13.0
"! Shade",1.0
"! She",9.0
"! Shop",1.0
"! Short",1.0
"! Shout",1.0
"! Sides",1.0
"! Signs",1.0
"! Simple",1.0
"! Since",2.0
"! Sizzling",1.0
"! Slainte",1.0
"! Small",2.0
"! Smoothie",1.0
"! Snazzy",1.0
"! So",40.0
"! Soft",1.0
"! Some",6.0
"! Son",1.0
"! Soooo",1.0
"! Sorry",3.0
"! Southern",1.0
"! Speaking",2.0
"! Specials",1.0
"! Specifically",1.0
"! Spend",1.0
"! Spinatos",1.0
"! Splitting",1.0
"! Sportmans",1.0
"! Spread",1.0
"! Staff",1.0
"! Stephanie",1.0
"! Still",2.0
"! Stop",1.0
"! Stylish",1.0
"! Styx",1.0
"! Such",2.0
"! Sugarholics",1.0
"! Super",1.0
"! Sure",2.0
"! Sushi",1.0
"! Sweetie",1.0
"! Switch",1.0
"! T",1.0
"! THE",3.0
"! THIS",1.0
"! Take",1.0
"! Tamale",1.0
"! Tasted",1.0
"! Tasty",1.0
"! Tequilasgreat",1.0
"! Thai",1.0
"! Thank",10.0
"! Thanks",5.0
"! That",8.0
"! Thats",10.0
"! The",303.0
"! Their",8.0
"! Then",10.0
"! There",23.0
"! Theres",2.0
"! These",7.0
"! They",60.0
"! Thin",1.0
"! Things",1.0
"! Thinly",1.0
"! This",68.0
"! Though",1.0
"! Three",1.0
"! Tims",1.0
"! To",5.0
"! Tonight",1.0
"! Too",4.0
"! Top",1.0
"! Total",1.0
"! Totally",2.0
"! Tradiciones",1.0
"! Truly",1.0
"! Trust",1.0
"! Try",5.0
"! Trying",1.0
"! Turns",1.0
"! Two",2.0
"! Ugh",1.0
"! Um",1.0
"! Unbelievers",1.0
"! Unfortunately",2.0
"! Unusual",1.0
"! Upon",1.0
"! Usually",2.0
"! Valley",1.0
"! Very",9.0
"! WOW",4.0
"! WTF",2.0
"! Waaay",1.0
"! Walking",1.0
"! Warm",4.0
"! Warmest",1.0
"! Was",2.0
"! We",107.0
"! Weird",1.0
"! Well",7.0
"! Wellno",1.0
"! Went",3.0
"! Were",1.0
"! Weve",2.0
"! What",11.0
"! Whatever",1.0
"! Whats",3.0
"! When",11.0
"! Where",2.0
"! Which",1.0
"! While",11.0
"! Who",2.0
"! Whoa",3.0
"! Why",5.0
"! Will",2.0
"! Wines",1.0
"! Wish",2.0
"! With",4.0
"! Without",1.0
"! Woe",1.0
"! Wonderful",1.0
"! Woo",1.0
"! Worth",1.0
