_id,value
"! !",187.0
"! $",2.0
"! *",1.0
"! A",7.0
"! AKA",1.0
"! AND",2.0
"! Actually",1.0
"! Added",1.0
"! Adriana",1.0
"! After",3.0
"! All",2.0
"! Along",1.0
"! Also",3.0
"! Amazing",1.0
"! An",1.0
"! And",14.0
"! Anyway",1.0
"! Anyways",3.0
"! As",3.0
"! Awesome",6.0
"! Be",2.0
"! Beef",1.0
"! Beware",1.0
"! Bonus",1.0
"! Bottom",1.0
"! Boyfriend",1.0
"! Brat",1.0
"! Building",1.0
"! Bungalow",1.0
"! Burger",1.0
"! But",8.0
"! Cant",2.0
"! Chances",1.0
"! Cheeseheaven",1.0
"! Chorizo",1.0
"! Classywarm",1.0
"! ConsLoud",1.0
"! Cool",1.0
"! Danielle",1.0
"! Definitely",1.0
"! Delicious",1.0
"! Deliciously",1.0
"! Dont",1.0
"! Dosent",1.0
"! Drink",1.0
"! Enjoy",1.0
"! Enough",1.0
"! Esther",1.0
"! Even",1.0
"! Ever",1.0
"! Every",2.0
"! Ex",1.0
"! FAVES",1.0
"! FINALLY",1.0
"! Filled",1.0
"! First",1.0
"! Fitting",1.0
"! Food",1.0
"! For",2.0
"! Fresh",1.0
"! From",2.0
"! Fun",1.0
"! Get",1.0
"! Glass",1.0
"! Good",2.0
"! Great",4.0
"! Had",3.0
"! Half",1.0
"! Happy",1.0
"! Have",3.0
"! Having",1.0
"! He",2.0
"! Hell",1.0
"! Her",1.0
"! Here",2.0
"! Hot",2.0
"! How",1.0
"! However",1.0
"! I",80.0
"! Id",1.0
"! Idk",1.0
"! If",3.0
"! Ill",3.0
"! Im",4.0
"! In",2.0
"! Inside",1.0
"! It",10.0
"! Its",4.0
"! Ive",5.0
"! Just",1.0
"! LOVE",1.0
"! Large",2.0
"! Last",2.0
"! Lastly",2.0
"! Like",1.0
"! Located",1.0
"! Love",3.0
"! Lunch",1.0
"! MONDAY",1.0
"! Maybe",1.0
"! Modern",1.0
"! MonTue",1.0
"! Multiple",1.0
"! My",10.0
"! NUTS",1.0
"! Napoleons",1.0
"! Never",1.0
"! New",1.0
"! Newspaper",1.0
"! Next",2.0
"! Nice",5.0
"! No",2.0
"! Nom",1.0
"! Nothing",2.0
"! Now",2.0
"! OH",1.0
"! OK",1.0
"! OMG",1.0
"! Of",1.0
"! Oh",4.0
"! Ok",1.0
"! On",1.0
"! Our",6.0
"! Parking",1.0
"! People",1.0
"! Pho",1.0
"! Pick",1.0
"! Piping",1.0
"! Please",1.0
"! Plenty",1.0
"! Plus",1.0
"! Prices",1.0
"! Prime",1.0
"! Probably",1.0
"! Quite",1.0
"! REALLY",1.0
"! Raspberry",1.0
"! Ribs",1.0
"! Ricotta",1.0
"! Rula",2.0
"! Sadly",1.0
"! Same",1.0
"! Score",1.0
"! Seating",1.0
"! Secondly",1.0
"! Seriously",1.0
"! Service",6.0
"! She",2.0
"! Silly",1.0
"! Since",1.0
"! Small",1.0
"! So",9.0
"! Some",1.0
"! Someone",1.0
"! Something",1.0
"! Sorry",1.0
"! Sportmans",1.0
"! Sprouts",1.0
"! Sweet",1.0
"! TIP",1.0
"! Tasted",1.0
"! Thank",1.0
"! Thanks",5.0
"! That",6.0
"! Thats",1.0
"! The",63.0
"! Their",4.0
"! Then",1.0
"! There",3.0
"! Theres",1.0
"! These",2.0
"! They",26.0
"! This",12.0
"! Thus",1.0
"! To",2.0
"! Too",1.0
"! Totally",1.0
"! Toward",1.0
"! True",1.0
"! Truly",1.0
"! Try",3.0
"! Trying",1.0
"! Two",3.0
"! Usually",1.0
"! Very",4.0
"! WOW",1.0
"! Walking",1.0
"! Warm",3.0
"! We",26.0
"! Well",3.0
"! Went",1.0
"! Weve",1.0
"! When",3.0
"! While",2.0
"! Whoa",2.0
"! Will",1.0
"! Wish",2.0
"! YAY",2.0
"! YUMMY",1.0
"! Yeah",2.0
"! Yes",3.0
"! You",8.0
"! _",1.0
"! although",2.0
"! amazing",2.0
"! and",10.0
"! are",1.0
"! berry",1.0
"! best",1.0
"! btw",1.0
"! but",1.0
"! butter",1.0
"! did",2.0
"! dont",1.0
"! from",1.0
"! have",1.0
"! he",1.0
"! how",2.0
"! httpwwwyelpcombiz_photosNyGHLwxl_kXfhfrvhwselectUFsIKG_MZxbGvezRedA",1.0
"! httpwwwyelpcombiz_photoskQpHAkzKTrFYfkuVgQselectsLOjmoMEBkWAcTZyHskQ",1.0
"! httpwwwyelpcombiz_photoskQpHAkzKTrFYfkuVgQselectwYzWxyjrTKUXsSUwnKSw",1.0
"! i",4.0
"! knotch",1.0
"! macaroons",1.0
"! music",1.0
"! not",1.0
"! of",1.0
"! off",2.0
"! other",1.0
"! rinse",1.0
"! seriously",1.0
"! sheriff",1.0
"! smoked",1.0
"! something",1.0
"! squee",1.0
"! star",1.0
"! starts",1.0
"! th",1.0
"! thanks",2.0
"! the",1.0
"! this",1.0
"! vodka",1.0
"! we",1.0
"! were",1.0
"! when",1.0
"! with",1.0
"! you",2.0
"$ !",5.0
"$ $",13.0
"$ *Octopus",1.0
"$ A",2.0
"$ All",1.0
"$ Although",1.0
"$ And",1.0
"$ BIG",1.0
"$ Bloody",1.0
"$ Chips",1.0
"$ Cold",1.0
"$ Delicio",1.0
"$ Disappointing",1.0
"$ Dr",1.0
"$ Drafts",1.0
"$ Edamame",1.0
"$ Flatbread",1.0
"$ For",1.0
"$ Fried",1.0
"$ Happy",1.0
"$ How",1.0
"$ However",1.0
"$ I",15.0
"$ IVE",1.0
"$ Id",1.0
"$ If",4.0
"$ It",4.0
"$ Keep",1.0
"$ Kiltlifters",1.0
"$ Looks",1.0
"$ Lunch",1.0
"$ Martinis",1.0
"$ Miller",1.0
"$ My",1.0
"$ Never",1.0
"$ Nice",1.0
"$ Night",2.0
"$ Not",2.0
"$ Of",1.0
"$ On",1.0
"$ Orange",1.0
"$ Overall",1.0
"$ Padres",1.0
"$ Peppers",1.0
"$ Restaurantcom",1.0
"$ Shaved",1.0
"$ Snifter",1.0
"$ So",1.0
"$ Standard",1.0
"$ The",5.0
"$ There",1.0
"$ These",1.0
"$ They",1.0
"$ Thinking",2.0
"$ Too",1.0
"$ Tortilla",1.0
"$ Tres",1.0
"$ Tuesday",2.0
"$ While",1.0
"$ Wild",1.0
"$ Without",1.0
"$ Woos",1.0
"$ Yaiii",1.0
"$ Yes",2.0
"$ You",2.0
"$ a",9.0
"$ ahi",2.0
"$ an",1.0
"$ and",19.0
"$ annual",1.0
"$ appetizers",5.0
"$ asparagus",1.0
"$ at",2.0
"$ bar",1.0
"$ beer",1.0
"$ beers",1.0
"$ before",1.0
"$ bill",2.0
"$ bottle",2.0
"$ bottles",1.0
"$ bucks",2.0
"$ burger",2.0
"$ but",8.0
"$ card",1.0
"$ cervezas",1.0
"$ char",1.0
"$ chicken",2.0
"$ coconut",1.0
"$ coupon",2.0
"$ course",1.0
"$ crab",1.0
"$ crust",2.0
"$ dinner",1.0
"$ dollars",1.0
"$ domestic",1.0
"$ drafts",1.0
"$ drinks",1.0
"$ during",4.0
"$ each",4.0
"$ even",1.0
"$ extra",2.0
"$ foie",1.0
"$ food",1.0
"$ for",21.0
"$ game",2.0
"$ get",1.0
"$ gift",9.0
"$ glasses",4.0
"$ got",1.0
"$ hamburger",1.0
"$ happy",1.0
"$ house",2.0
"$ huge",1.0
"$ if",2.0
"$ including",2.0
"$ instantly",1.0
"$ instead",1.0
"$ is",1.0
"$ it",3.0
"$ kettle",1.0
"$ large",2.0
"$ lunch",3.0
"$ making",1.0
"$ margaritas",2.0
"$ margs",1.0
"$ meal",1.0
"$ mojitos",2.0
