_id,value
"! !",448.0
"! $",2.0
"! *",7.0
"! **Pad",1.0
"! *A",1.0
"! *Whole",1.0
"! *pizza",2.0
"! *squeal*",1.0
"! A",6.0
"! AND",2.0
"! ASK",1.0
"! Absolutely",1.0
"! Actually",1.0
"! Added",1.0
"! Adding",2.0
"! Additional",1.0
"! After",9.0
"! Again",2.0
"! AlHana",1.0
"! All",12.0
"! Also",12.0
"! Although",1.0
"! Among",1.0
"! An",1.0
"! And",42.0
"! Another",1.0
"! Any",1.0
"! Anyway",3.0
"! Anyways",2.0
"! Are",1.0
"! As",9.0
"! At",3.0
"! Atmosphere",1.0
"! Awesome",2.0
"! BTW",1.0
"! BUMMER",1.0
"! Banh",1.0
"! Based",1.0
"! Be",2.0
"! Beautiful",2.0
"! Besides",2.0
"! Big",1.0
"! Bill",1.0
"! Bonus",3.0
"! Both",1.0
"! Bread",1.0
"! Brian",1.0
"! Bring",1.0
"! Btw",1.0
"! Bungalow",1.0
"! Burger",1.0
"! But",10.0
"! By",2.0
"! Cabernet",2.0
"! Can",3.0
"! Caprese",1.0
"! Cartel",1.0
"! Chain",1.0
"! Cheap",1.0
"! Cheaper",1.0
"! Check",1.0
"! Cheers",1.0
"! Cheeseheaven",1.0
"! ChefsJapanese",1.0
"! Chunks",1.0
"! Clean",1.0
"! Combination",1.0
"! Come",3.0
"! Comer",1.0
"! Content",1.0
"! Cool",1.0
"! Crazy",1.0
"! Crossed",1.0
"! Cute",1.0
"! D",1.0
"! DH",1.0
"! DO",1.0
"! Damn",2.0
"! Definitely",3.0
"! Devoted",1.0
"! Did",1.0
"! Dim",1.0
"! Dinner",1.0
"! Dino",1.0
"! Do",4.0
"! Dont",1.0
"! Dosent",1.0
"! Drink",1.0
"! Drop",1.0
"! EVERYONE",2.0
"! EXCELLENT",1.0
"! Easily",2.0
"! Eat",1.0
"! Eba",1.0
"! Edamame",1.0
"! Eddie",1.0
"! Enjoy",1.0
"! Especially",1.0
"! Established",1.0
"! Even",2.0
"! Ever",1.0
"! Every",2.0
"! Everybody",1.0
"! Everything",6.0
"! Excellent",2.0
"! Extensive",2.0
"! FINALLY",3.0
"! FIVE",2.0
"! FYI",1.0
"! Finally",5.0
"! Fingers",1.0
"! First",3.0
"! Firstly",1.0
"! Flat",1.0
"! Food",1.0
"! For",16.0
"! Forest",1.0
"! Forget",2.0
"! Fortunately",1.0
"! Four",1.0
"! Free",2.0
"! Fresh",2.0
"! From",2.0
"! Full",1.0
"! GET",1.0
"! GO",1.0
"! Generous",2.0
"! Get",3.0
"! Glad",1.0
"! Go",2.0
"! God",1.0
"! Good",7.0
"! Great",9.0
"! Greeted",1.0
"! Groovy",1.0
"! Guess",1.0
"! Had",4.0
"! Have",3.0
"! Havent",2.0
"! Having",3.0
"! He",5.0
"! Heard",1.0
"! Hefe",1.0
"! Here",2.0
"! Hes",1.0
"! His",1.0
"! Hmmm",2.0
"! Honestly",1.0
"! Hottie",1.0
"! How",7.0
"! However",3.0
"! Huauchinango",1.0
"! Huge",2.0
"! I",217.0
"! Ice",1.0
"! Id",2.0
"! If",20.0
"! Ill",6.0
"! Im",21.0
"! Important",1.0
"! In",8.0
"! Instead",1.0
"! It",32.0
"! Its",14.0
"! Ive",19.0
"! J",1.0
"! Jeez",1.0
"! Josh",1.0
"! Just",5.0
"! Keep",1.0
"! Kelly",1.0
"! Kudos",1.0
"! LOLThe",1.0
"! Lara",1.0
"! Last",3.0
"! Lastly",3.0
"! Let",1.0
"! Lets",1.0
"! Like",2.0
"! Literally",3.0
"! Little",1.0
"! Loaded",1.0
"! Located",1.0
"! Lollicup",1.0
"! Lots",2.0
"! Lotsa",1.0
"! Love",3.0
"! Loved",2.0
"! Low",1.0
"! Luckily",1.0
"! Lunch",5.0
"! M",1.0
"! MONDAY",1.0
"! Man",1.0
"! Many",1.0
"! Martinis",1.0
"! Massively",1.0
"! Matt",1.0
"! Maybe",2.0
"! Meat",1.0
"! Mine",2.0
"! Modern",1.0
"! Molto",1.0
"! Mom",4.0
"! Most",3.0
"! Move",2.0
"! Much",3.0
"! My",43.0
"! Napoleons",1.0
"! Negative",1.0
"! Negatives",1.0
"! Next",7.0
"! Nice",2.0
"! Nigiri",1.0
"! No",4.0
"! Norma",1.0
"! Not",7.0
"! Nothing",2.0
"! Now",7.0
"! O",1.0
"! OFF",2.0
"! OH",1.0
"! OK",1.0
"! OMG",1.0
"! Observation",1.0
"! Of",1.0
"! Oh",12.0
"! Ok",1.0
"! Okay",3.0
"! On",3.0
"! Once",2.0
"! One",3.0
"! Only",1.0
"! Or",1.0
"! Order",1.0
"! Other",3.0
"! Our",3.0
"! Overall",3.0
"! PS",6.0
"! Pair",1.0
"! Parking",1.0
"! Patio",1.0
"! People",1.0
"! Perfect",1.0
"! Perfectly",1.0
"! Perhaps",1.0
"! Pho",2.0
"! Picture",1.0
"! Plates",2.0
"! Plenty",2.0
"! Plus",4.0
"! Priced",1.0
"! Prices",4.0
"! Produce",1.0
"! Puzzled",1.0
"! Quick",1.0
"! REALLY",1.0
"! Real",2.0
"! Reasonable",2.0
"! Recently",1.0
"! Red",1.0
"! Redendos",1.0
"! Regardless",1.0
"! Restaurant",1.0
"! Roaring",2.0
"! Roasted",2.0
"! SO",2.0
"! SOOO",1.0
"! Sabor",1.0
"! Same",1.0
"! Sara",1.0
"! Save",1.0
"! Score",1.0
"! Second",2.0
"! Secondly",1.0
"! Seems",1.0
"! Seriously",5.0
"! Served",1.0
"! Service",11.0
"! She",4.0
"! Shrimp",1.0
"! Since",3.0
"! Skip",1.0
"! Small",1.0
"! Smallish",1.0
"! Smeeks",2.0
"! So",22.0
"! Some",3.0
"! Somehow",1.0
"! Something",1.0
"! Sorry",1.0
"! Soups",1.0
"! Soy",1.0
"! Spicy",2.0
"! Spinatos",1.0
"! Sprouts",1.0
"! Staff",1.0
"! Started",1.0
"! Stretchy",1.0
"! Such",1.0
"! Sure",1.0
"! Tamale",1.0
"! Tasty",2.0
"! Thai",1.0
"! Thank",3.0
"! Thanks",3.0
"! That",15.0
"! Thats",8.0
"! The",180.0
"! Their",6.0
"! Then",8.0
"! There",18.0
"! Theres",3.0
"! Theresa",1.0
"! These",1.0
"! They",51.0
"! Theyve",2.0
"! Thin",1.0
"! This",41.0
"! Those",1.0
"! Though",1.0
"! To",3.0
"! Today",2.0
"! Tom",1.0
"! Tons",1.0
"! Tops",2.0
"! Torched",2.0
"! Total",1.0
"! Totally",3.0
"! Toward",1.0
"! Try",5.0
"! Trying",1.0
"! Two",6.0
"! Unbelievers",1.0
"! Unfortunately",1.0
"! Update",1.0
"! Upon",1.0
"! Upstairs",1.0
"! Usually",3.0
"! VEGGIE",1.0
"! Very",9.0
"! WHY",1.0
"! WOW",1.0
"! WTF",2.0
"! Warm",2.0
"! We",57.0
"! Well",6.0
"! Wellno",1.0
"! Went",1.0
"! Weve",1.0
"! What",13.0
"! Whats",1.0
"! When",11.0
"! Where",2.0
"! Wheres",1.0
"! Whew",1.0
"! While",6.0
"! Whoohoo",1.0
"! Why",3.0
"! Will",2.0
"! Wines",1.0
"! With",3.0
"! Wonderful",1.0
"! Woo",1.0
"! Woodlands",2.0
"! Woofreakinhoo",1.0
"! Wow",2.0
"! Xtreme",1.0
"! YAY",2.0
"! YUM",1.0
"! YUMMM",1.0
