_id,value
"! !",866.0
"! $",5.0
"! *",8.0
"! **",1.0
"! ***********",1.0
"! ***The",1.0
"! **I",1.0
"! **Pad",1.0
"! **Update",1.0
"! *A",1.0
"! *I",2.0
"! *Theyre",1.0
"! *Whole",1.0
"! *pizza",2.0
"! *squeal*",1.0
"! A",20.0
"! AJI",1.0
"! AKA",1.0
"! AND",4.0
"! ARGH",1.0
"! ASK",1.0
"! AYKM",1.0
"! Absolutely",2.0
"! Add",3.0
"! Added",1.0
"! Adding",2.0
"! Additional",1.0
"! Adriana",1.0
"! After",12.0
"! Again",2.0
"! Alex",1.0
"! All",9.0
"! Along",2.0
"! Alright",1.0
"! Also",13.0
"! Alternating",1.0
"! Although",3.0
"! Always",1.0
"! Amazing",4.0
"! Among",1.0
"! An",2.0
"! And",56.0
"! Another",5.0
"! Any",3.0
"! Anyway",6.0
"! Anyways",3.0
"! Are",3.0
"! As",26.0
"! Ashley",1.0
"! Aside",1.0
"! Ask",2.0
"! At",3.0
"! Ate",1.0
"! Authentic",1.0
"! Awesome",4.0
"! B",2.0
"! BTW",3.0
"! BUT",1.0
"! Banana",1.0
"! Be",3.0
"! Beautiful",1.0
"! Beef",1.0
"! Beer",1.0
"! Being",1.0
"! Best",2.0
"! Better",3.0
"! Beware",1.0
"! Big",1.0
"! Bliss",1.0
"! Bonus",2.0
"! Both",3.0
"! Brat",1.0
"! Bread",1.0
"! Brilliant",1.0
"! Btw",1.0
"! Building",1.0
"! Bummer",1.0
"! Burger",1.0
"! But",23.0
"! Butand",1.0
"! CA",1.0
"! CEO",1.0
"! Cabernet",2.0
"! Came",1.0
"! Can",3.0
"! Cant",5.0
"! Caprese",1.0
"! Cartel",1.0
"! Chain",1.0
"! Cheaper",1.0
"! Check",6.0
"! Cheers",2.0
"! Cheeseheaven",1.0
"! Chicken",1.0
"! Chill",1.0
"! Chipotle",1.0
"! ChipsSalsa",2.0
"! Chorizo",1.0
"! Chunks",1.0
"! Cibo",2.0
"! Clean",1.0
"! Combination",1.0
"! Combo",1.0
"! Come",1.0
"! Coming",1.0
"! Content",1.0
"! Cool",1.0
"! Crazy",2.0
"! Creamed",1.0
"! Culvers",2.0
"! Cute",2.0
"! D",2.0
"! DG",1.0
"! DH",1.0
"! DIM",1.0
"! DO",1.0
"! Damn",2.0
"! Daniel",1.0
"! Debra",1.0
"! Definite",1.0
"! Definitely",12.0
"! Delicious",5.0
"! Deliciously",1.0
"! Delish",1.0
"! Denise",1.0
"! Despite",1.0
"! Devine",1.0
"! Did",2.0
"! Dim",1.0
"! Dinner",2.0
"! Dino",1.0
"! Dogfish",1.0
"! Done",1.0
"! Dont",3.0
"! Drink",1.0
"! Drip",1.0
"! Droves",1.0
"! Duck",1.0
"! During",1.0
"! ENJOY",2.0
"! EXCELLENT",1.0
"! Easily",3.0
"! Eba",3.0
"! Edamame",1.0
"! Eddie",1.0
"! Edit",1.0
"! Eggs",1.0
"! Either",3.0
"! Enjoy",5.0
"! Enough",2.0
"! Entrees",1.0
"! Especially",3.0
"! Established",1.0
"! Even",8.0
"! Ever",1.0
"! Every",4.0
"! Everyone",1.0
"! Everything",11.0
"! Exactly",1.0
"! Excellent",3.0
"! Extensive",2.0
"! Extra",1.0
"! F",1.0
"! FINALLY",3.0
"! FIVE",2.0
"! FRC",1.0
"! FYI",6.0
"! Feeling",1.0
"! Filet",1.0
"! Filled",1.0
"! Finally",7.0
"! First",7.0
"! Firstly",1.0
"! Five",3.0
"! Flat",1.0
"! Flourless",1.0
"! Flowing",1.0
"! Food",6.0
"! For",17.0
"! Forget",2.0
"! Fortunately",1.0
"! Four",1.0
"! Free",4.0
"! Fresca",1.0
"! Fresh",2.0
"! Friend",2.0
"! Friendly",1.0
"! Fries",2.0
"! From",6.0
"! Frozen",1.0
"! Full",1.0
"! Fun",2.0
"! Gallaghers",1.0
"! Gary",1.0
"! Generous",2.0
"! Get",5.0
"! Give",1.0
"! Giving",2.0
"! Glass",1.0
"! Go",6.0
"! God",2.0
"! Going",2.0
"! Gone",1.0
"! Good",8.0
"! Gooey",1.0
"! Got",4.0
"! Great",29.0
"! Greens",1.0
"! Greeted",1.0
"! Grilled",1.0
"! Groovy",1.0
"! Growing",1.0
"! Guess",1.0
"! Gulab",2.0
"! HINT",1.0
"! HIS",1.0
"! Ha",1.0
"! Had",8.0
"! Hanging",1.0
"! Happy",1.0
"! Have",3.0
"! Havent",3.0
"! Having",3.0
"! He",12.0
"! Heck",1.0
"! Hell",1.0
"! Helpful",1.0
"! Here",8.0
"! Heres",1.0
"! Hes",1.0
"! Highlights",1.0
"! Highly",2.0
"! His",1.0
"! Hmif",1.0
"! Holy",3.0
"! Home",1.0
"! Honesty",1.0
"! Hooray",1.0
"! Hope",2.0
"! Hot",1.0
"! Hottie",1.0
"! How",8.0
"! However",6.0
"! Huauchinango",2.0
"! Hubby",1.0
"! Huge",4.0
"! I",451.0
"! IT",2.0
"! Ice",1.0
"! Id",7.0
"! Idk",1.0
"! If",37.0
"! Ill",10.0
"! Im",32.0
"! Imagine",2.0
"! Important",1.0
"! In",9.0
"! Indian",1.0
"! Is",3.0
"! It",85.0
"! Italian",1.0
"! Its",40.0
"! Ive",26.0
"! Jacqui",1.0
"! Jared",1.0
"! Josh",1.0
"! Just",13.0
"! Justis",2.0
"! Kafta",1.0
"! Keep",1.0
"! Kelly",1.0
"! Kevin",1.0
"! Kick",2.0
"! Kudos",1.0
"! LIMIT",2.0
"! LOL",1.0
"! LOLThe",1.0
"! LOVE",4.0
"! La",2.0
"! Lalibela",1.0
"! Last",4.0
"! Lastly",4.0
"! Latitude",2.0
"! Learn",1.0
"! Less",1.0
"! Lets",2.0
"! Like",5.0
"! Liked",1.0
"! Literally",1.0
"! Little",2.0
"! Located",1.0
"! Lomo",1.0
"! Look",1.0
"! Looks",1.0
"! Lots",1.0
"! Love",8.0
"! Loved",2.0
"! Low",1.0
"! Lunch",5.0
"! Luv",1.0
"! M",1.0
"! MY",1.0
"! Made",2.0
"! Mainly",1.0
"! Make",2.0
"! Man",3.0
"! Many",1.0
"! Mark",1.0
"! Marly",1.0
"! Massively",1.0
"! Mastros",1.0
"! Matt",1.0
"! Maybe",2.0
"! Meat",1.0
"! Memorable",1.0
"! Met",1.0
"! Mind",1.0
"! Mine",2.0
"! Minor",1.0
"! Mmmmmm",2.0
"! Mojo",1.0
"! Molto",1.0
"! Mom",4.0
"! Most",3.0
"! Mostly",1.0
"! Move",2.0
"! Mr",1.0
"! Much",1.0
"! Multiple",1.0
"! My",80.0
"! NOTE",1.0
"! NUTS",1.0
"! Nachos",1.0
"! Napoleons",1.0
"! Need",1.0
"! Needless",1.0
"! Negative",1.0
"! Neighborhood",2.0
"! Neither",1.0
"! Never",1.0
"! New",1.0
"! Next",10.0
"! Nice",5.0
"! Night",1.0
"! No",13.0
"! Nom",1.0
"! Noodle",2.0
"! Norma",1.0
"! Normally",1.0
"! Not",9.0
"! Note",1.0
"! Nothing",2.0
"! Now",17.0
"! Number",1.0
"! OFF",2.0
"! OK",2.0
"! OMG",6.0
"! Observation",1.0
"! Of",1.0
"! Oh",18.0
"! Ok",2.0
"! Okay",3.0
"! On",7.0
"! Once",1.0
"! One",8.0
"! Only",4.0
"! Opa",1.0
"! Or",2.0
"! Order",1.0
"! Other",4.0
"! Our",24.0
"! Out",2.0
"! Outstanding",1.0
"! Over",1.0
"! Overall",10.0
"! PBJ",1.0
"! PS",9.0
"! Pair",1.0
"! Parking",1.0
"! Pasta",1.0
"! Patio",2.0
"! People",1.0
"! Perfect",4.0
"! Perfectly",1.0
"! Perhaps",1.0
"! Pernil",1.0
"! Pho",1.0
"! Pick",1.0
"! Pics",2.0
"! Picture",1.0
"! Pizza",1.0
"! Plates",2.0
"! Please",2.0
"! Plus",4.0
"! Portion",1.0
"! Portions",1.0
"! Potbelly",1.0
"! Presentation",1.0
"! Previously",1.0
"! Priced",1.0
"! Prices",2.0
"! Prime",1.0
"! Probably",1.0
"! Produce",1.0
"! Promptly",1.0
"! Ps",1.0
"! Pulled",1.0
"! Put",1.0
"! Puzzled",1.0
"! Quarter",1.0
"! Quick",1.0
"! Raising",1.0
"! Real",2.0
"! Really",3.0
"! Reasonable",2.0
"! Reasonably",2.0
"! Recently",2.0
"! Red",1.0
"! Regardless",1.0
"! Rejoice",1.0
"! Restaurant",1.0
"! Ribs",2.0
"! Ricotta",1.0
"! Ridiculous",1.0
"! Rolls",2.0
"! SERVICE",3.0
"! SHE",1.0
"! SO",2.0
"! SOOO",1.0
"! Sabanot",1.0
"! Sadly",3.0
"! Sake",1.0
"! Salud",1.0
"! Same",2.0
"! Sampled",1.0
"! Score",1.0
"! Seating",1.0
"! Second",2.0
"! Seriously",9.0
"! Served",1.0
"! Service",32.0
"! She",10.0
"! Short",1.0
"! Shrimp",1.0
"! Sides",1.0
"! Signs",1.0
"! Silver",2.0
"! Simple",1.0
"! Since",8.0
"! Sizzling",1.0
"! Skip",1.0
"! Slipping",1.0
"! Small",1.0
"! Smoothie",1.0
"! So",56.0
"! Soft",1.0
"! Some",6.0
"! Somehow",1.0
"! Something",1.0
"! Son",1.0
"! Sooo",1.0
"! Sooooo",1.0
"! Sorry",2.0
