_id,value
"! ! !",80.0
"! ! A",1.0
"! ! All",1.0
"! ! An",1.0
"! ! And",2.0
"! ! Anyways",1.0
"! ! Be",1.0
"! ! Brat",1.0
"! ! Cant",1.0
"! ! Classywarm",1.0
"! ! Delicious",1.0
"! ! Deliciously",1.0
"! ! Drink",1.0
"! ! Enjoy",1.0
"! ! Enough",1.0
"! ! Fun",1.0
"! ! How",1.0
"! ! I",9.0
"! ! Idk",1.0
"! ! Im",1.0
"! ! It",1.0
"! ! LOVE",1.0
"! ! My",2.0
"! ! Nice",1.0
"! ! Nothing",2.0
"! ! OK",1.0
"! ! OMG",1.0
"! ! Oh",2.0
"! ! On",1.0
"! ! Our",1.0
"! ! Plus",1.0
"! ! Quite",1.0
"! ! REALLY",1.0
"! ! Thank",1.0
"! ! Thanks",1.0
"! ! That",1.0
"! ! Thats",1.0
"! ! The",9.0
"! ! Theres",1.0
"! ! They",1.0
"! ! This",3.0
"! ! To",1.0
"! ! Too",1.0
"! ! Try",1.0
"! ! Two",1.0
"! ! Warm",1.0
"! ! We",6.0
"! ! YAY",2.0
"! ! Yes",1.0
"! ! You",3.0
"! ! although",2.0
"! ! amazing",1.0
"! ! and",1.0
"! ! are",1.0
"! ! best",1.0
"! ! but",1.0
"! ! he",1.0
"! ! other",1.0
"! ! rinse",1.0
"! ! smoked",1.0
"! ! th",1.0
"! ! this",1.0
"! $ $",1.0
"! $ pitchers",1.0
"! * Hot",1.0
"! A bargain",1.0
"! A cheese",1.0
"! A great",1.0
"! A little",1.0
"! A must",1.0
"! A small",1.0
"! A very",1.0
"! AKA they",1.0
"! AND people",1.0
"! AND they",1.0
"! Actually for",1.0
"! Added half",1.0
"! Adriana and",1.0
"! After breaking",1.0
"! After oohing",2.0
"! All caffeine",1.0
"! All in",1.0
"! Along the",1.0
"! Also checked",1.0
"! Also she",1.0
"! Also the",1.0
"! Amazing Happy",1.0
"! An African",1.0
"! And for",1.0
"! And have",2.0
"! And isnt",1.0
"! And really",1.0
"! And thats",1.0
"! And the",1.0
"! And their",1.0
"! And they",3.0
"! And theyre",1.0
"! And todays",1.0
"! And with",1.0
"! Anyway the",1.0
"! Anyways from",1.0
"! Anyways the",2.0
"! As someone",1.0
"! As you",2.0
"! Awesome !",3.0
"! Awesome combination",1.0
"! Awesome happy",2.0
"! Be sure",1.0
"! Be warned",1.0
"! Beef Larb",1.0
"! Beware !",1.0
"! Bonus that",1.0
"! Bottom line",1.0
"! Boyfriend and",1.0
"! Brat !",1.0
"! Building marking",1.0
"! Bungalow has",1.0
"! Burger was",1.0
"! But I",2.0
"! But alas",1.0
"! But as",2.0
"! But believe",1.0
"! But overall",1.0
"! But they",1.0
"! Cant beat",1.0
"! Cant say",1.0
"! Chances are",1.0
"! Cheeseheaven Or",1.0
"! Chorizo !",1.0
"! Classywarm atmosphere",1.0
"! ConsLoud Really",1.0
"! Cool indoor",1.0
"! Danielle and",1.0
"! Definitely GO",1.0
"! Delicious fast",1.0
"! Deliciously seasoned",1.0
"! Dont be",1.0
"! Dosent it",1.0
"! Drink specials",1.0
"! Enjoy !",1.0
"! Enough food",1.0
"! Esther suggested",1.0
"! Even though",1.0
"! Ever need",1.0
"! Every guitar",1.0
"! Every item",1.0
"! Ex cent",1.0
"! FAVES Prosciutto",1.0
"! FINALLY the",1.0
"! Filled me",1.0
"! First of",1.0
"! Fitting as",1.0
"! Food edamame",1.0
"! For $",1.0
"! For two",1.0
"! Fresh muddled",1.0
"! From pm",2.0
"! Fun place",1.0
"! Get yourself",1.0
"! Glass of",1.0
"! Good to",1.0
"! Good variety",1.0
"! Great happy",1.0
"! Great place",2.0
"! Great seating",1.0
"! Had Dan",2.0
"! Had dinner",1.0
"! Half price",1.0
"! Happy hour",1.0
"! Have had",3.0
"! Having recently",1.0
"! He explained",1.0
"! He went",1.0
"! Hell yeah",1.0
"! Her friend",1.0
"! Here is",2.0
"! Hot Mess",2.0
"! How can",1.0
"! However I",1.0
"! I AM",2.0
"! I adore",1.0
"! I also",1.0
"! I am",6.0
"! I cant",2.0
"! I could",2.0
"! I decided",3.0
"! I dont",4.0
"! I enjoyed",1.0
"! I finally",1.0
"! I first",2.0
"! I forgot",1.0
"! I fully",1.0
"! I got",1.0
"! I had",3.0
"! I have",4.0
"! I just",1.0
"! I keep",1.0
"! I knew",1.0
"! I left",1.0
"! I like",1.0
"! I liked",2.0
"! I love",3.0
"! I loved",1.0
"! I must",2.0
