_id,value
"! ! !",216.0
"! ! $",1.0
"! ! All",1.0
"! ! An",1.0
"! ! And",3.0
"! ! At",1.0
"! ! Awesome",1.0
"! ! Combination",1.0
"! ! Comer",1.0
"! ! D",1.0
"! ! Devoted",1.0
"! ! Do",4.0
"! ! EXCELLENT",1.0
"! ! Extensive",2.0
"! ! Finally",2.0
"! ! Flat",1.0
"! ! Forest",1.0
"! ! GET",1.0
"! ! Had",1.0
"! ! However",1.0
"! ! I",25.0
"! ! If",2.0
"! ! Im",4.0
"! ! It",1.0
"! ! Its",3.0
"! ! Ive",4.0
"! ! Just",1.0
"! ! Let",1.0
"! ! Lots",2.0
"! ! Love",2.0
"! ! Lunch",2.0
"! ! Most",1.0
"! ! My",3.0
"! ! No",2.0
"! ! Nothing",2.0
"! ! OK",1.0
"! ! Oh",1.0
"! ! Okay",1.0
"! ! On",1.0
"! ! REALLY",1.0
"! ! Second",1.0
"! ! Seems",1.0
"! ! So",2.0
"! ! Somehow",1.0
"! ! Spicy",2.0
"! ! Such",1.0
"! ! Tamale",1.0
"! ! Thank",1.0
"! ! That",4.0
"! ! Thats",1.0
"! ! The",23.0
"! ! Then",2.0
"! ! There",1.0
"! ! They",6.0
"! ! This",9.0
"! ! Tom",1.0
"! ! Try",1.0
"! ! Two",1.0
"! ! VEGGIE",1.0
"! ! Very",1.0
"! ! We",7.0
"! ! Well",1.0
"! ! When",1.0
"! ! Where",1.0
"! ! Whoohoo",1.0
"! ! Wow",1.0
"! ! YAY",2.0
"! ! YUM",1.0
"! ! Yes",2.0
"! ! You",2.0
"! ! Yummy",1.0
"! ! and",2.0
"! ! best",1.0
"! ! cheaper",1.0
"! ! even",1.0
"! ! five",1.0
"! ! fun",1.0
"! ! great",2.0
"! ! i",1.0
"! ! non",1.0
"! ! other",1.0
"! ! rinse",1.0
"! ! stars",1.0
"! ! tacos",1.0
"! ! they",1.0
"! ! this",1.0
"! ! we",2.0
"! ! with",1.0
"! ! wtf",1.0
