_id,value
"@",16.0
"[",21.0
"]",21.0
"____",2.0
"____s",2.0
"_finally_",1.0
"aaa",1.0
"aaaaah",1.0
"aaaalooooha",1.0
"aah",1.0
"aaron",5.0
"ab",1.0
"abandon",1.0
"abandoned",3.0
"abbey",1.0
"abbreviated",1.0
"aberration",1.0
"abilities",2.0
"ability",6.0
"able",102.0
"abnormal",2.0
"abominable",1.0
"abound",4.0
"about",928.0
"above",59.0
"aboveaverage",2.0
"abovefrom",1.0
"aboveis",1.0
"abroad",1.0
"abrupt",1.0
"abscence",1.0
"absent",1.0
"absofreakinglutely",1.0
"absolute",15.0
"absolutely",109.0
"absolutly",1.0
"absorb",1.0
"absorbed",2.0
"absoulutely",1.0
"absurd",3.0
"absurdly",1.0
"abundance",4.0
"abundant",2.0
"aburning",1.0
"abuse",3.0
"abused",1.0
"abut",2.0
"abutting",1.0
"abv",1.0
"abysmal",3.0
"ac",10.0
"acacia",1.0
"academy",1.0
"acai",1.0
"accent",5.0
"accented",1.0
"accents",6.0
"accept",7.0
"acceptable",5.0
"accepted",2.0
"accepting",1.0
"accesible",1.0
"access",7.0
"accessed",1.0
"accessible",1.0
"accessory",1.0
"accident",3.0
"accidentally",2.0
"accommodate",9.0
"accommodated",3.0
"accommodates",2.0
"accommodating",31.0
"accommodations",3.0
"accomodate",2.0
"accomodated",1.0
"accomodating",7.0
"accompanied",11.0
"accompanies",1.0
"accompaniment",5.0
"accompaniments",3.0
"accompany",4.0
"accompanying",9.0
"accomplished",1.0
"accomplishment",1.0
"accord",1.0
"accordance",2.0
"according",11.0
"accordingly",4.0
"account",5.0
"accounts",2.0
"accoutrement",2.0
"accoutrementscom",1.0
"accurate",4.0
"accurately",1.0
"accuse",1.0
"accustomed",1.0
"ach",1.0
"ache",1.0
"achieve",1.0
"achievement",1.0
"achieves",1.0
"acidic",1.0
"acidity",1.0
"acknowldege",1.0
"acknowledge",1.0
"acknowledged",2.0
"acknowledges",1.0
"acoustic",4.0
"acoustics",5.0
"acquire",1.0
"acquired",1.0
"acrobatic",2.0
"across",76.0
"act",7.0
"acted",2.0
"acting",3.0
"action",8.0
"actions",2.0
"active",4.0
"activities",2.0
"activity",3.0
"acts",1.0
"actthat",2.0
"actual",27.0
"actuality",2.0
"actually",196.0
"ad",3.0
"adam",5.0
"adams",4.0
"adapted",2.0
"adaptive",1.0
"add",71.0
"added",74.0
"addict",1.0
"addicted",6.0
"addicting",2.0
"addiction",1.0
"addictive",5.0
"adding",21.0
"addins",3.0
"addition",62.0
"additional",14.0
"additionally",1.0
"additions",4.0
"additives",1.0
"addon",1.0
"address",6.0
"addressed",2.0
"addresses",1.0
"adds",18.0
"adequate",8.0
"adequately",2.0
"adequete",1.0
"adhere",2.0
"adieu",2.0
"adios",3.0
"adjacent",7.0
"adjourn",1.0
"adjust",2.0
"adjusted",1.0
"adler",1.0
"admirable",1.0
"admire",2.0
"admirerer",1.0
"admission",1.0
"admit",36.0
"admitted",1.0
"admittedly",7.0
"adobada",3.0
"adobe",2.0
"adobo",4.0
"adorable",20.0
"adorablelove",1.0
"adorably",2.0
"adoration",2.0
"adore",6.0
"adored",2.0
"adores",1.0
"adorn",2.0
"adorned",4.0
"adorning",2.0
