_id,value
"",3.0
"@",25.0
"[",34.0
"\",2.0
"]",35.0
"^",1.0
"_",1.0
"____",3.0
"_______________",1.0
"____s",2.0
"_fast",1.0
"_finally_",1.0
"_i",1.0
"_mg",3.0
"_oatmeal",1.0
"_they",1.0
"_throw",1.0
"aaa",2.0
"aaaaaah",1.0
"aaaaaannnnnnnddd",1.0
"aaaalooooha",1.0
"aaaamazing",1.0
"aaannnnd",1.0
"aah",1.0
"aaron",7.0
"aarons",1.0
"ab",1.0
"aback",2.0
"abandon",1.0
"abandoned",6.0
"abbey",1.0
"abbreviated",2.0
"abc",1.0
"abide",1.0
"abilities",2.0
"ability",15.0
"abita",1.0
"able",186.0
"abnormal",2.0
"abominable",1.0
"abound",3.0
"abounds",2.0
"about",2034.0
"aboutrm",1.0
"above",134.0
"aboveaverage",2.0
"abovefrom",1.0
"aboveis",1.0
"abridged",1.0
"abroad",2.0
"abrupt",2.0
"abscence",1.0
"absence",1.0
"absent",1.0
"absentee",2.0
"absentminded",1.0
"absinthe",1.0
"absofreakinglutely",1.0
"absofreakinlutely",1.0
"absofruitley",1.0
"absolute",47.0
"absolutely",232.0
"absolutley",2.0
"absolutly",1.0
"absorb",1.0
"absorbed",1.0
"absoulutely",1.0
"absurd",4.0
"absurdly",3.0
"abundance",10.0
"abundant",7.0
"aburning",1.0
"abuse",1.0
"abused",2.0
"abusive",1.0
"abut",2.0
"abv",1.0
"abysmal",1.0
"ac",14.0
"acacia",7.0
"academy",1.0
"acai",1.0
"acccessible",1.0
"accelerator",1.0
"accent",12.0
"accented",3.0
"accents",11.0
"accept",14.0
"accepta",1.0
"acceptable",14.0
"acceptance",1.0
"accepted",7.0
"accepting",2.0
"accesible",1.0
"access",7.0
"accessbile",1.0
"accessed",2.0
"accessible",3.0
"accessory",1.0
"accident",9.0
"accidentally",6.0
"accidents",2.0
"accolades",1.0
"accomidating",1.0
"accommodate",14.0
"accommodated",3.0
"accommodates",2.0
"accommodating",45.0
"accommodatingespecially",2.0
"accommodation",1.0
"accommodations",2.0
"accomodated",1.0
"accomodating",11.0
"accomodation",1.0
"accompanied",23.0
"accompanies",3.0
"accompaniment",11.0
"accompaniments",6.0
"accompany",7.0
"accompanying",16.0
"accomplish",2.0
"accomplished",2.0
"accomplishment",2.0
"according",24.0
"accordingly",9.0
"account",16.0
"accountability",3.0
"accountants",1.0
"accountingexpense",1.0
"accounts",6.0
"accouterments",1.0
"accoutrement",2.0
"accoutrements",2.0
"accoutrementscom",1.0
"accumulating",1.0
"accurate",8.0
"accurately",6.0
"accusations",2.0
"accuse",1.0
"accused",1.0
"accustomed",4.0
"ace",1.0
"ach",1.0
"ache",2.0
"achieve",3.0
"achievement",1.0
"achieves",1.0
"achiote",1.0
"acidic",5.0
"acidity",5.0
"acknowledge",7.0
"acknowledged",4.0
"acommodating",1.0
"acoustic",5.0
"acoustics",6.0
"acquaintanceship",1.0
"acquire",3.0
"acquired",2.0
"acrobatic",1.0
"acronym",1.0
"acros",1.0
"across",127.0
"act",14.0
"acted",7.0
"acting",4.0
"action",16.0
"actions",5.0
"active",6.0
"activities",5.0
"activity",5.0
"acts",2.0
"actthat",2.0
"actual",52.0
"actuality",2.0
"actually",408.0
"ad",10.0
"ada",1.0
"adam",8.0
"adams",8.0
"adapted",3.0
"adaptive",2.0
"add",179.0
"added",155.0
"addendum",1.0
"addict",6.0
"addicted",26.0
"addicting",14.0
"addictingakin",2.0
"addiction",6.0
"addictive",13.0
"addictively",1.0
"addicts",2.0
"addin",1.0
"adding",45.0
"addins",3.0
"addition",134.0
"additional",34.0
"additionally",3.0
"additions",1.0
"additive",3.0
"additives",3.0
"additon",1.0
"additves",1.0
"addon",1.0
"address",12.0
"addresses",1.0
"addressing",1.0
"adds",24.0
"adequate",11.0
"adequately",2.0
"adequete",1.0
"adhere",3.0
"adhering",1.0
"adhoc",1.0
"adieu",2.0
"adios",1.0
"adjacent",11.0
"adjoining",1.0
"adjourn",1.0
