_id,value
"@",8.0
"[",18.0
"]",18.0
"_",2.0
"_fast",1.0
"_i",1.0
"_mg",3.0
"_oatmeal",1.0
"_they",1.0
"_throw",1.0
"aaaaaah",1.0
"aaaamazing",1.0
"aah",1.0
"abandon",1.0
"abandoned",2.0
"aberration",1.0
"abilities",1.0
"ability",4.0
"able",67.0
"abound",2.0
"about",660.0
"above",56.0
"aboveaverage",1.0
"abridged",1.0
"abroad",1.0
"absinthe",1.0
"absolute",14.0
"absolutely",68.0
"absorbed",1.0
"absurd",2.0
"abuelos",1.0
"abundance",3.0
"abundant",3.0
"abused",1.0
"ac",3.0
"acacia",2.0
"accent",7.0
"accented",1.0
"accents",3.0
"accept",6.0
"acceptable",4.0
"accepted",2.0
"accepting",1.0
"accepts",1.0
"accesible",1.0
"access",4.0
"accessbile",1.0
"accessible",1.0
"accident",5.0
"accidentally",1.0
"accommodate",4.0
"accommodated",2.0
"accommodating",12.0
"accommodations",3.0
"accomodating",4.0
"accompanied",8.0
"accompanies",3.0
"accompaniment",3.0
"accompaniments",1.0
"accompany",2.0
"accompanying",4.0
"accomplishment",1.0
"according",11.0
"accordingly",2.0
"account",7.0
"accountants",1.0
"accountingexpense",1.0
"accounts",2.0
"accouterments",1.0
"accoutrements",1.0
"accurate",2.0
"accurately",2.0
"accused",1.0
"accustom",1.0
"accustomed",4.0
"ach",1.0
"ache",2.0
"achieves",1.0
"acidic",1.0
"acidity",1.0
"acknowledge",3.0
"acommodating",1.0
"acoustic",3.0
"acoustics",1.0
"acrobatic",1.0
"acronym",1.0
"acronyms",1.0
"acros",1.0
"across",34.0
"act",2.0
"acted",3.0
"action",3.0
"actions",1.0
"activities",4.0
"activity",1.0
"actual",11.0
"actually",120.0
"ad",4.0
"adams",3.0
"add",67.0
"added",50.0
"addict",1.0
"addicted",5.0
"addicting",2.0
"addiction",1.0
"addictive",6.0
"adding",12.0
"addins",2.0
"addition",54.0
"additional",20.0
"additions",1.0
"additives",1.0
"address",8.0
"addressed",2.0
"adds",3.0
"addtl",1.0
"adequate",3.0
"adequete",1.0
"adhere",1.0
"adieu",1.0
"adios",2.0
"adjacent",5.0
"adjusted",1.0
"adjustment",2.0
"admission",2.0
"admit",27.0
"admittance",1.0
"admittedly",2.0
"admittedlytoo",1.0
"adobe",4.0
"adobo",2.0
"adorable",10.0
"adorablelove",1.0
"adore",4.0
"adorn",1.0
"adorned",2.0
"adovada",2.0
"adult",4.0
"adults",6.0
"advance",6.0
"advantage",7.0
"adventure",5.0
"adventures",2.0
"adventurous",11.0
"advertise",7.0
"advertised",3.0
"advertising",2.0
"advice",8.0
"advise",3.0
"advised",1.0
"ae",2.0
"aesthetics",2.0
"afar",2.0
"affair",3.0
"affairs",1.0
"affection",1.0
"affectionately",1.0
"afflictionwearing",1.0
"affogato",1.0
"afford",11.0
"affordable",38.0
"afforded",1.0
"aficianado",2.0
"aforementioned",6.0
"afraid",8.0
"african",2.0
"afront",1.0
"after",329.0
"afterbar",1.0
"afternoon",37.0
"afternoonevening",1.0
"aftertaste",1.0
"afterthought",1.0
"afterward",2.0
"afterwards",5.0
"afterwork",1.0
"again",190.0
"againafter",1.0
"againbanh",1.0
"againhow",1.0
"againit",1.0
"against",9.0
"againtheres",1.0
"againthough",1.0
"agave",1.0
"agaves",1.0
"age",6.0
"aged",6.0
"ages",3.0
"aging",1.0
"agnolotti",1.0
"ago",40.0
"agree",15.0
"agreeable",3.0
"agreed",13.0
"agua",11.0
"aguacate",1.0
"ahead",12.0
"ahem",2.0
"ahh",1.0
"ahhh",1.0
"ahhhh",2.0
"ahhhhh",1.0
"ahhhhmore",1.0
"ahi",14.0
"ahing",2.0
"ahole",1.0
"ahorita",1.0
"ahwatukee",4.0
"aid",1.0
"aided",1.0
"aids",1.0
"ails",1.0
"aimed",1.0
"aiming",1.0
"aimless",1.0
"aimlessly",1.0
"aims",3.0
"aint",3.0
"aioli",5.0
"air",15.0
"aircured",2.0
"airedale",1.0
"airfare",1.0
"airpark",1.0
"airport",3.0
"airways",1.0
"airy",1.0
"aisle",5.0
"aisles",9.0
"aji",3.0
"ajo",1.0
"ajs",9.0
"aka",7.0
"akin",2.0
"akor",2.0
"akwardly",1.0
"al",19.0
"ala",5.0
"alabama",1.0
"aladdinpantwearing",1.0
"alas",11.0
"alaskan",3.0
"albacore",5.0
"albeit",2.0
"alberts",2.0
"albertsons",2.0
"albondigas",1.0
"album",1.0
"albuquerque",1.0
"alcohol",20.0
"alcoholfueled",1.0
"alcoholic",5.0
"ale",12.0
"alertalerte",1.0
"ales",4.0
"alex",2.0
"alexander",1.0
"alfred",1.0
"alfredo",8.0
"alfreds",1.0
"alhana",5.0
"alice",1.0
"aligned",1.0
"aligning",2.0
"alike",4.0
"alimentacin",1.0
"alissa",2.0
"alla",1.0
"allamerican",2.0
"allaround",1.0
"allday",1.0
"allergen",1.0
"allergens",1.0
"allergic",2.0
"allergies",1.0
"allergy",6.0
"alley",2.0
"alli",1.0
"alligator",3.0
"allimportant",1.0
"allinall",4.0
"alllll",1.0
"allllll",1.0
"allnatural",1.0
"allnighter",1.0
"allow",8.0
"allowed",6.0
"allowing",2.0
"allows",6.0
"allthis",1.0
"alltime",1.0
"allyoucaneat",2.0
"allyson",2.0
"almond",18.0
"almonds",2.0
"almost",88.0
"aloha",2.0
"alone",20.0
"alonein",2.0
"along",74.0
"alongside",3.0
"alorange",1.0
"alot",15.0
"already",66.0
"alreadyestablished",1.0
"alright",15.0
"also",515.0
"alsofor",1.0
"alterations",2.0
"alternate",3.0
"alternative",10.0
"altho",1.0
"although",77.0
"altogether",2.0
"aluminum",2.0
"always",301.0
"ama",1.0
"amares",1.0
"amaretto",2.0
"amateur",2.0
"amateurstyle",1.0
"amaze",1.0
"amazeballs",2.0
"amazed",9.0
"amazing",174.0
"amazingly",16.0
"amazingness",2.0
"amber",5.0
"ambiance",31.0
"ambience",16.0
"amc",1.0
"amen",1.0
"amenities",1.0
"america",6.0
"american",26.0
"americancheese",1.0
"americanitalian",1.0
"americanized",9.0
"americanizes",1.0
"americans",5.0
"americas",2.0
"amicable",1.0
"amidst",1.0
"aminos",1.0
"amiright",1.0
"amits",1.0
"among",15.0
"amongst",6.0
"amore",1.0
"amount",67.0
"amounts",4.0
"ample",7.0
"ampm",1.0
"amshe",1.0
"amuse",6.0
"amys",1.0
"analogy",1.0
"analysis",2.0
"analytical",1.0
"analyzing",1.0
"anarchy",1.0
"anatomy",1.0
"ancho",2.0
"anchoorange",2.0
"anchor",1.0
"anchovies",3.0
"ancient",2.0
"andmagic",1.0
"andok",1.0
"andor",10.0
"andre",7.0
"andrea",1.0
"andreoli",2.0
"andres",3.0
"andrews",2.0
"anecdotes",1.0
"angel",7.0
"angela",2.0
"angeles",1.0
"angeleshacienda",1.0
"angelic",1.0
"angels",1.0
"angry",2.0
"angus",2.0
"anheuser",1.0
"animal",12.0
"animals",2.0
"anime",1.0
"anise",1.0
"ann",1.0
"anne",1.0
"anniversary",11.0
"anniversaryagain",1.0
"annointed",1.0
"announced",1.0
"annoyances",2.0
"annoyed",4.0
"annoying",17.0
"anns",1.0
"annual",1.0
"another",169.0
"anotherand",2.0
"ans",1.0
"ansel",1.0
"answer",9.0
"answered",5.0
"answering",1.0
"answers",3.0
"ant",1.0
"anti",1.0
"antiasu",2.0
"anticipate",1.0
"anticipated",3.0
"anticipating",3.0
"anticipatory",1.0
"antioxidant",2.0
"antipasti",1.0
"antipasto",1.0
"antique",2.0
"antiques",1.0
"antithesis",1.0
"antivegan",2.0
"antler",1.0
"anxious",1.0
"anybody",1.0
"anyday",1.0
"anyhow",2.0
"anymore",12.0
"anyone",60.0
"anyones",4.0
"anything",127.0
"anytime",6.0
"anyway",48.0
"anyways",10.0
"anywhere",39.0
"anywho",3.0
"ao",1.0
"aok",9.0
"aole",1.0
"aoli",1.0
"apache",2.0
"apart",6.0
"apartment",3.0
"apartments",2.0
"apes",1.0
"apiece",2.0
"apittite",1.0
"apm",1.0
"apologetic",3.0
"apologies",4.0
"apologize",1.0
"apologized",2.0
"apologizedreally",1.0
"apology",1.0
"app",16.0
"apparent",2.0
"apparently",19.0
"appbeing",1.0
"appeal",1.0
"appealing",11.0
"appeals",1.0
"appear",4.0
"appearance",2.0
"appeared",4.0
"appears",4.0
"appetite",6.0
"appetites",3.0
"appetito",1.0
"appetizer",62.0
"appetizers",61.0
"appetizing",6.0
"apple",15.0
"applebees",1.0
"applebeesesque",1.0
"apples",3.0
"applesauce",1.0
"application",1.0
"applied",2.0
"applies",1.0
"apply",2.0
"apportioned",1.0
"appreciate",18.0
"appreciated",17.0
"appreciates",1.0
"appreciative",1.0
"approach",2.0
"approached",4.0
"approaches",1.0
"appropriate",6.0
"appropriately",3.0
"approval",3.0
"approved",1.0
"approx",6.0
"approximately",3.0
"apps",14.0
"appy",1.0
"apricot",1.0
"apricots",2.0
"april",1.0
"aquavit",2.0
"arabian",1.0
"arabic",1.0
"arbor",1.0
"arcade",1.0
"arcadia",4.0
"architectural",1.0
"architecture",1.0
"archways",1.0
"area",178.0
"areas",6.0
"arena",2.0
"arent",38.0
"argentina",1.0
"arguable",1.0
"argue",1.0
"arguing",2.0
"argument",3.0
"arid",2.0
"arigato",1.0
"arise",1.0
"arizona",51.0
"arizonians",1.0
"arlington",1.0
"arm",2.0
"armadillo",1.0
"armed",2.0
"armenian",1.0
"arms",1.0
"arnold",7.0
"aroma",4.0
"aromas",1.0
"aromatic",3.0
"aromatics",1.0
"around",219.0
"arrangements",3.0
"array",10.0
"arriba",1.0
"arrival",6.0
"arrive",12.0
"arrived",67.0
"arrives",5.0
"arriving",6.0
"arrowhead",1.0
"arrowroot",1.0
"art",25.0
"arteryclogging",1.0
"arteryhardening",1.0
"artesia",2.0
"arthichoke",2.0
"arthur",2.0
"artichoke",14.0
"artichokes",5.0
"article",1.0
"artificial",2.0
"artisan",2.0
"artist",1.0
"artistic",3.0
"artists",2.0
"arts",2.0
"artsy",1.0
"artwalk",1.0
"artwork",4.0
"artworks",1.0
"arugula",15.0
"asada",39.0
"asadamaybe",1.0
"asadaso",1.0
"asado",2.0
"asahi",1.0
"asap",1.0
"asas",1.0
"ash",1.0
"asi",1.0
"asia",2.0
"asiago",1.0
"asian",49.0
"asianmexican",1.0
"asians",1.0
"aside",17.0
"ask",106.0
"asked",120.0
"asking",19.0
"asks",7.0
"asparagus",12.0
"aspect",1.0
"aspects",2.0
"ass",14.0
"assembled",1.0
"assessment",1.0
"assif",1.0
"assigned",1.0
"assimilation",1.0
"assist",1.0
"assistance",2.0
"assistant",3.0
"assload",1.0
"assloads",2.0
"associate",2.0
"associates",1.0
"assor",1.0
"assorted",4.0
"assortment",18.0
"asst",1.0
"assume",6.0
"assumed",3.0
"assuming",4.0
"assure",3.0
"assured",3.0
"assuring",1.0
"astonishing",1.0
"astounding",1.0
"astray",1.0
"asu",7.0
"asus",1.0
"ate",71.0
"ateries",1.0
"athens",2.0
"athletes",1.0
"atlas",2.0
"atm",2.0
"atmosphere",155.0
"atmospherewise",1.0
"atomic",2.0
"atop",5.0
"atoyac",7.0
"attached",2.0
"attack",7.0
"attacks",1.0
"attempt",7.0
"attempted",1.0
"attempts",1.0
"attend",1.0
"attendant",3.0
"attended",4.0
"attending",1.0
"attention",19.0
"attentive",51.0
"attire",3.0
"attitude",9.0
"attitudes",1.0
"attract",4.0
"attraction",1.0
"attractions",1.0
"attractive",3.0
"attribute",2.0
"au",3.0
"auction",1.0
"audacious",1.0
"audience",1.0
"auditions",1.0
"audrey",1.0
"august",2.0
"aunt",2.0
"aus",2.0
"aussie",1.0
"australia",1.0
"australian",1.0
"auteur",1.0
"authentic",61.0
"authenticity",8.0
"auto",1.0
"autographed",1.0
"automatic",3.0
"automatically",4.0
"automobile",2.0
"automotive",3.0
"autumn",1.0
"avacado",1.0
"avacadoey",1.0
"avacados",1.0
"availability",2.0
"available",58.0
"avalanche",2.0
"ave",16.0
"avenidas",1.0
"avenue",17.0
"aveor",2.0
"aver",2.0
"average",38.0
"averageness",1.0
"averages",1.0
"averaging",1.0
"aversion",3.0
"avina",4.0
"avocado",34.0
"avoid",14.0
"avoided",2.0
"avoiding",2.0
"aw",3.0
"awaiting",1.0
"awake",1.0
"awakening",1.0
"award",5.0
"awards",4.0
"aware",9.0
"awareness",2.0
"awatukee",1.0
"away",119.0
"awayagain",1.0
"awaycame",1.0
"awe",3.0
"awesome",151.0
"awesomely",1.0
"awesomeness",1.0
"awesomeprobably",1.0
"awful",2.0
"awhile",8.0
"awkward",18.0
"awkwardly",1.0
"awkwardmessy",1.0
"awkwardnessa",1.0
"awning",1.0
"awsome",2.0
"ay",1.0
"az",37.0
"azcentralcom",1.0
"azs",1.0
"aztec",1.0
"b",23.0
"bab",1.0
"baba",6.0
"babaganoush",2.0
"babaghannouj",1.0
"babaloos",1.0
"babbling",2.0
"babbo",1.0
"babe",3.0
"babelfish",2.0
"babganoush",1.0
"babies",1.0
"babiesrus",1.0
"baby",7.0
"babys",1.0
"bachelor",1.0
"bachelorette",3.0
"back",487.0
"backdefinitely",2.0
"backed",2.0
"background",10.0
"backim",1.0
"backs",2.0
"backsplash",1.0
"backtoday",1.0
"backup",1.0
"backyard",3.0
"bacon",75.0
"baconwhatever",1.0
"baconwrapped",1.0
"bad",131.0
"badass",1.0
"badly",5.0
"badump",1.0
"bag",30.0
"bagel",16.0
"bagels",11.0
"bagged",4.0
"bags",15.0
"baguette",10.0
"baguettes",1.0
"baguettewhatever",2.0
"bah",1.0
"bahnmi",1.0
"bahooka",1.0
"bail",1.0
"baileys",2.0
"bait",1.0
"baiz",2.0
"baja",2.0
"bake",5.0
"bakecase",2.0
"baked",44.0
"baker",1.0
"bakeries",6.0
"bakers",1.0
"bakery",20.0
"bakes",2.0
"baking",5.0
"baklava",11.0
"balance",13.0
"balanced",6.0
"balcony",3.0
"bald",3.0
"balerina",1.0
"ball",8.0
"balladeering",1.0
"ballerific",1.0
"ballistic",1.0
"ballot",1.0
"ballroom",1.0
"balls",12.0
"ballyhooed",1.0
"balsamic",11.0
"balut",2.0
"bam",2.0
"bamboo",3.0
"ban",2.0
"banana",15.0
"bananas",6.0
"band",15.0
"bandera",2.0
"bands",3.0
"bang",5.0
"banged",1.0
"bangers",3.0
"bangkok",4.0
"banh",7.0
"bank",17.0
"banko",1.0
"banned",1.0
"banner",1.0
"banners",1.0
"banquettes",1.0
"bantering",1.0
"bao",1.0
"baptism",2.0
"bar",244.0
"barbacoa",3.0
"barbecue",4.0
"barbecued",2.0
"barbeque",2.0
"barcadi",1.0
"bare",2.0
"barely",15.0
"barfood",2.0
"bargain",10.0
"barista",3.0
"baristas",1.0
"barked",1.0
"barley",4.0
"barleywine",1.0
"barn",2.0
"barneys",1.0
"barrel",4.0
"barrels",1.0
"barrier",1.0
"barrow",1.0
"bars",25.0
"bartender",23.0
"bartenders",7.0
"barware",1.0
"base",5.0
"baseball",5.0
"based",28.0
"basement",2.0
"bashas",1.0
"basic",13.0
"basically",24.0
"basicaly",1.0
"basics",5.0
"basil",37.0
"basile",1.0
"basis",11.0
"basket",13.0
"basketball",3.0
"basmati",1.0
"bass",2.0
"bastard",1.0
"bastardization",2.0
"bat",2.0
"batch",4.0
"batches",1.0
"bathed",5.0
"bathroom",9.0
"bathrooms",9.0
"bathroomthe",1.0
"batter",18.0
"battered",6.0
"battle",2.0
"battled",1.0
"battles",1.0
"battling",1.0
"bavarian",1.0
"bay",10.0
"baynchaiv",1.0
"bazillion",1.0
"bb",1.0
"bbb",1.0
"bbq",67.0
"bbqschwarbq",1.0
"bc",6.0
"bday",3.0
"beach",10.0
"beaches",1.0
"beachy",1.0
"beacon",1.0
"beams",1.0
"bean",41.0
"beans",104.0
"bear",5.0
"beard",3.0
"bearded",1.0
"bearer",1.0
"bearing",3.0
"bearnaise",1.0
"bears",1.0
"beast",2.0
"beat",48.0
"beati",1.0
"beatings",1.0
"beats",5.0
"beauties",2.0
"beautiful",34.0
"beautifully",10.0
"beauty",5.0
"beaver",3.0
"became",19.0
"beckoning",1.0
"become",15.0
"becoming",5.0
"becuase",3.0
"bed",9.0
"bedded",1.0
"beds",1.0
"bee",3.0
"beef",198.0
"beefmy",1.0
"beefpork",1.0
"beefs",1.0
"beefy",3.0
"beer",157.0
"beerbread",1.0
"beergarita",1.0
"beers",51.0
"beersarsaparilla",1.0
"beersspirits",1.0
"beerwine",1.0
"bees",1.0
"beet",2.0
"beetlejuice",1.0
"beets",1.0
"befuddlement",1.0
"began",8.0
"begged",3.0
"begging",2.0
"begin",10.0
"beginning",11.0
"begins",1.0
"begrudgingly",1.0
"behaved",1.0
"behaving",1.0
"behavior",2.0
"behemoth",1.0
"behind",41.0
"behold",3.0
"beige",1.0
"beiges",1.0
"beignets",4.0
"belch",1.0
"belevdere",1.0
"belgian",4.0
"belgium",3.0
"belief",2.0
"believe",50.0
"believed",3.0
"believers",1.0
"bell",21.0
"belle",1.0
"bellevue",1.0
"bellies",2.0
"bellini",2.0
"bellissimo",1.0
"bells",2.0
"belly",8.0
"belonged",1.0
"belongs",1.0
"beloved",4.0
"below",13.0
"belt",12.0
"belted",1.0
"bench",2.0
"benches",1.0
"benchstyle",1.0
"bend",1.0
"bene",1.0
"beneath",3.0
"benedict",10.0
"beneficiary",1.0
"benefit",5.0
"benefits",3.0
"benevolent",1.0
"benihana",4.0
"benny",3.0
"bentley",1.0
"bento",9.0
"benzedrine",1.0
"beppos",1.0
"beratings",1.0
"berkshire",1.0
"bernaise",1.0
"bernie",3.0
"berry",6.0
"berthas",1.0
"bertos",3.0
"beside",2.0
"besides",14.0
"best",351.0
"bestdid",1.0
"bestkept",1.0
"bests",1.0
"bet",4.0
"bethany",4.0
"bethe",1.0
"better",211.0
"bettermy",1.0
"betting",1.0
"bettwen",1.0
"betty",4.0
"beurre",1.0
"beverage",14.0
"beverages",10.0
"bevmo",23.0
"bevnomo",1.0
"beware",5.0
"beyond",28.0
"bf",10.0
"bfast",4.0
"bff",3.0
"bfs",3.0
"bi",2.0
"bialy",3.0
"bianco",10.0
"biancos",1.0
"biasedbut",1.0
"biblesized",1.0
"bibs",1.0
"bicycle",1.0
"bicycles",1.0
"bid",1.0
"biddingmust",1.0
"biere",1.0
"big",189.0
"bigfatlap",1.0
"bigger",15.0
"biggerthanyourhead",1.0
"biggest",16.0
"biggie",3.0
"bike",10.0
"bikes",8.0
"bikini",1.0
"bil",1.0
"bilingual",1.0
"bill",76.0
"billfold",2.0
"billion",1.0
"billthey",1.0
"billy",2.0
"biltmore",9.0
"bim",2.0
"binks",2.0
"bins",1.0
"bird",1.0
"birds",5.0
"birth",1.0
"birthday",42.0
"birthdays",4.0
"biryani",1.0
"biscotti",1.0
"biscuit",3.0
"biscuitgravy",1.0
"biscuits",6.0
"biscuitsfresh",1.0
"bison",3.0
"bisque",10.0
"bisques",1.0
"bistro",17.0
"bistroa",1.0
"bit",223.0
"bitchen",1.0
"bitchesenter",1.0
"bitching",2.0
"bite",72.0
"biteh",2.0
"bitemmmm",1.0
"bites",16.0
"biting",1.0
"bits",10.0
"bitter",4.0
"bittermelon",1.0
"bitterness",1.0
"biz",1.0
"bizarre",4.0
"bjs",1.0
"blaaaaah",1.0
"black",41.0
"blackbean",1.0
"blackberries",3.0
"blackboard",1.0
"blackened",3.0
"blackout",2.0
"blacks",1.0
"blade",1.0
"blah",4.0
"blahfest",1.0
"blaise",1.0
"blame",3.0
"blamed",2.0
"blaming",1.0
"blanc",4.0
"blanca",2.0
"blanche",1.0
"blanco",6.0
"blancos",2.0
"bland",33.0
"blandish",1.0
"blandness",1.0
"blanket",2.0
"blanketed",2.0
"blaring",2.0
"blast",8.0
"blasting",5.0
"blatently",1.0
"blatina",1.0
"blazing",1.0
"bld",2.0
"bleached",1.0
"blech",2.0
"blend",6.0
"blended",5.0
"blessed",1.0
"blessing",1.0
"bleu",4.0
"blew",10.0
"blind",2.0
"blinded",1.0
"blinds",2.0
"blink",2.0
"bliss",2.0
"blissrebar",1.0
"blitzed",1.0
"bloated",1.0
"blob",1.0
"block",8.0
"blocked",3.0
"blogger",4.0
"blond",1.0
"blonde",4.0
"blood",8.0
"blooded",1.0
"bloody",8.0
"bloom",3.0
"blossom",2.0
"blossoms",4.0
