_id,value
"",2.0
"@",16.0
"[",23.0
"\",1.0
"]",23.0
"_",1.0
"_fast",1.0
"_i",1.0
"_mg",3.0
"_oatmeal",1.0
"_they",1.0
"_throw",1.0
"aaa",2.0
"aaannnnd",1.0
"aah",1.0
"aaron",7.0
"aarons",2.0
"aback",2.0
"abandon",1.0
"abandoned",1.0
"abc",1.0
"abilities",3.0
"ability",4.0
"able",130.0
"abominable",1.0
"abound",3.0
"about",1242.0
"abouti",1.0
"aboutneither",1.0
"aboutrm",1.0
"above",84.0
"aboveaverage",1.0
"aboveis",1.0
"abridged",1.0
"abrupt",1.0
"absent",1.0
"absinthe",1.0
"absofreakinglutely",1.0
"absofreakinlutely",1.0
"absolut",1.0
"absolute",33.0
"absolutely",134.0
"absolutly",2.0
"absorb",2.0
"absorbed",1.0
"absurd",1.0
"absurdly",1.0
"abuelos",2.0
"abundance",3.0
"abundant",4.0
"aburning",1.0
"abuse",1.0
"abused",2.0
"abutting",1.0
"abv",1.0
"abysmal",2.0
"ac",7.0
"acacia",3.0
"acccessible",1.0
"accent",8.0
"accents",8.0
"accept",9.0
"accepta",1.0
"acceptable",8.0
"accepted",3.0
"accepting",1.0
"accepts",1.0
"accesible",1.0
"access",6.0
"accessible",1.0
"accident",2.0
"accidentally",4.0
"accolades",1.0
"accommodate",15.0
"accommodated",3.0
"accommodates",2.0
"accommodating",39.0
"accommodatingespecially",2.0
"accommodations",2.0
"accomodate",1.0
"accomodating",10.0
"accomodation",1.0
"accompanied",13.0
"accompaniment",6.0
"accompaniments",4.0
"accompany",4.0
"accompanying",9.0
"accomplish",1.0
"accomplished",1.0
"accomplishment",1.0
"according",8.0
"accordingly",3.0
"account",8.0
"accountability",2.0
"accouterments",1.0
"accoutrements",1.0
"accumulating",1.0
"accurate",8.0
"accurately",2.0
"accused",1.0
"accustom",1.0
"accustomed",4.0
"ache",1.0
"achieve",3.0
"achievement",1.0
"achieves",1.0
"acidic",3.0
"acidity",3.0
"acknowledge",2.0
"acknowledged",2.0
"acknowledges",1.0
"acommodating",1.0
"acoustic",5.0
"acoustics",2.0
"acquaintances",1.0
"acquire",2.0
"acquired",3.0
"acrobatic",1.0
"acronyms",1.0
"across",80.0
"act",7.0
"acted",1.0
"acting",2.0
"action",16.0
"actions",3.0
"active",5.0
"activities",2.0
"activity",2.0
"acts",1.0
"actthat",2.0
"actual",30.0
"actuality",2.0
"actually",261.0
"ad",8.0
"ada",1.0
"adam",4.0
"adams",6.0
"adapted",2.0
"adaptive",2.0
"add",95.0
"added",93.0
"addendum",1.0
"addict",4.0
"addicted",14.0
"addicting",4.0
"addictingakin",2.0
"addiction",3.0
"addictive",5.0
"addictively",1.0
"addin",1.0
"adding",35.0
"addins",1.0
"addition",85.0
"additional",27.0
"additionally",2.0
"additions",2.0
"additive",2.0
"addon",2.0
"address",7.0
"addressed",2.0
"addresses",1.0
"addressing",1.0
"adds",15.0
"addtl",1.0
"adequate",7.0
"adequately",1.0
"adequete",1.0
"adhere",2.0
"adhoc",1.0
"adieu",2.0
"adios",1.0
"adjacent",5.0
"adjourn",1.0
"adjust",2.0
"adjustments",1.0
"admire",1.0
"admired",1.0
"admirerer",1.0
"admires",1.0
"admiring",1.0
"admission",1.0
"admit",51.0
"admittedly",6.0
"admittedlytoo",1.0
"adobe",4.0
"adobo",9.0
"adorable",15.0
"adoration",2.0
"adore",6.0
"adored",2.0
"adores",2.0
"adorn",3.0
"adorned",3.0
"adorning",2.0
"adorns",1.0
"adovada",1.0
"adriana",1.0
"adrienne",2.0
"ads",2.0
"adult",8.0
"adults",8.0
"advance",14.0
"advantage",14.0
"advent",1.0
"adventure",15.0
"adventures",3.0
"adventurous",25.0
"adverse",1.0
"advertise",2.0
"advertised",8.0
"advertising",4.0
"advice",21.0
"advise",3.0
"aesthetic",2.0
"afar",1.0
"affable",1.0
"affair",3.0
"affaire",1.0
"affairs",1.0
