_id,value
"",4.0
"@",46.0
"[",65.0
"\",5.0
"]",66.0
"^",2.0
"_",3.0
"___",2.0
"____",3.0
"_______________",1.0
"____s",2.0
"_besides",2.0
"_fast",1.0
"_finally_",1.0
"_i",1.0
"_mg",3.0
"_no",2.0
"_oatmeal",1.0
"_still_",1.0
"_they",1.0
"_throw",1.0
"aaa",2.0
"aaaaaah",1.0
"aaaaaannnnnnnddd",1.0
"aaaaah",1.0
"aaaaanyways",1.0
"aaaalooooha",1.0
"aaaamazing",1.0
"aaaanyway",1.0
"aaannnnd",1.0
"aah",1.0
"aaron",15.0
"aarons",2.0
"ab",1.0
"aback",7.0
"abandon",2.0
"abandoned",9.0
"abandonedlooking",1.0
"abbey",1.0
"abbreviated",2.0
"abc",1.0
"aberrant",1.0
"aberration",1.0
"abide",1.0
"abilities",3.0
"ability",18.0
"abita",1.0
"able",283.0
"abnormal",2.0
"aboard",1.0
"abominable",1.0
"abomination",1.0
"abortion",1.0
"abound",6.0
"abounds",2.0
"about",3303.0
"abouti",1.0
"aboutneither",1.0
"aboutrm",1.0
"above",200.0
"aboveaverage",2.0
"abovefrom",1.0
"aboveis",1.0
"abridged",1.0
"abroad",2.0
"abrupt",4.0
"abruptly",1.0
"abscence",1.0
"absence",3.0
"absent",2.0
"absentee",2.0
"absentminded",1.0
"absinthe",3.0
"absofreakinglutely",1.0
"absofreakinlutely",1.0
"absofruitley",1.0
"absolut",1.0
"absolute",56.0
"absolutely",318.0
"absolutley",4.0
"absolutly",2.0
"absorb",3.0
"absorbed",2.0
"absorbing",1.0
"absorption",1.0
"absoulutely",1.0
"absurd",10.0
"absurdly",4.0
"abu",2.0
"abuelos",4.0
"abundance",17.0
"abundant",7.0
"aburning",1.0
"abuse",3.0
"abused",4.0
"abusive",1.0
"abut",2.0
"abutting",1.0
"abv",1.0
"abysmal",4.0
"ac",25.0
"acacia",7.0
"academy",2.0
"acai",2.0
"acccessible",1.0
"accelerator",1.0
"accent",17.0
"accented",3.0
"accents",12.0
"accept",29.0
"accepta",1.0
"acceptable",27.0
"acceptance",1.0
"accepted",9.0
"acceptible",2.0
"accepting",2.0
"accepts",1.0
"accesible",1.0
"access",10.0
"accessbile",1.0
"accessed",2.0
"accessible",3.0
"accessories",1.0
"accessory",1.0
"accident",14.0
"accidentally",9.0
"accidents",3.0
"acclaimed",1.0
"accolades",2.0
"accomidating",1.0
"accommodate",30.0
"accommodated",3.0
"accommodates",2.0
"accommodating",60.0
"accommodatingespecially",2.0
"accommodation",1.0
"accommodations",3.0
"accomodate",3.0
"accomodated",1.0
"accomodating",17.0
"accomodation",1.0
"accompanied",32.0
"accompanies",4.0
"accompanieswith",2.0
"accompaniment",12.0
"accompaniments",8.0
"accompany",9.0
"accompanying",23.0
"accomplish",4.0
"accomplished",3.0
"accomplishes",1.0
"accomplishment",2.0
"accord",1.0
"accordance",2.0
"according",38.0
"accordingly",10.0
"account",26.0
"accountability",3.0
"accountants",1.0
"accounting",2.0
"accountingexpense",1.0
"accounts",7.0
"accouterments",1.0
"accoutrement",2.0
"accoutrements",2.0
"accoutrementscom",1.0
"accumulating",1.0
"accuracy",1.0
"accurate",15.0
"accurately",10.0
"accusations",2.0
"accuse",1.0
"accused",1.0
"accustom",1.0
"accustomed",7.0
"ace",2.0
"aceto",1.0
"ach",1.0
"ache",2.0
"aches",1.0
"achieve",4.0
"achieved",3.0
"achievement",1.0
"achieves",1.0
"achiote",1.0
"acid",5.0
"acidic",7.0
"acidity",5.0
"acknowldege",1.0
"acknowledge",15.0
"acknowledged",13.0
"acknowledgement",3.0
"acknowledges",2.0
"acknowledgment",1.0
"acne",2.0
"acommodating",1.0
"acoustic",9.0
"acoustics",16.0
"acquaintances",1.0
"acquaintanceship",1.0
"acquire",3.0
"acquired",5.0
"acres",2.0
"acrid",3.0
"acrobatic",2.0
"acronym",1.0
"acronyms",1.0
"acros",1.0
"across",209.0
"act",38.0
"actaully",1.0
"acted",11.0
"acting",7.0
"action",23.0
"actions",5.0
"activate",1.0
"active",7.0
"activities",10.0
"activity",6.0
"actor",1.0
"acts",4.0
"actthat",2.0
"actual",97.0
"actuality",2.0
"actually",695.0
"acutal",1.0
"ad",14.0
"ada",1.0
"adam",9.0
"adamant",1.0
"adams",10.0
"adapted",4.0
"adaptive",2.0
"add",272.0
"added",218.0
"addendum",1.0
"addict",6.0
"addicted",27.0
"addicti",2.0
"addicting",14.0
"addictingakin",2.0
"addiction",8.0
"addictive",16.0
"addictively",1.0
"addicts",2.0
"addin",1.0
"adding",65.0
"addins",5.0
"addition",178.0
"additional",55.0
"additionally",8.0
"additions",9.0
"additive",3.0
"additives",4.0
"additon",1.0
"additves",1.0
"addon",2.0
"address",16.0
"addressed",2.0
"addresses",2.0
"addressing",5.0
"adds",36.0
"addtl",1.0
"addwould",1.0
"adenhart",1.0
"adenharts",1.0
"adept",1.0
"adequate",22.0
"adequately",4.0
"adequateneither",1.0
"adequete",1.0
"adhere",3.0
"adhering",1.0
"adhoc",1.0
"adieu",2.0
"adios",4.0
"adjacent",16.0
"adjective",1.0
"adjectives",2.0
"adjoining",3.0
"adjourn",1.0
"adjust",4.0
"adjusted",3.0
"adjustment",3.0
"adjustments",4.0
"adler",1.0
"admirable",1.0
"admire",3.0
"admired",1.0
"admirerer",1.0
"admires",1.0
"admiring",1.0
"admission",3.0
"admit",124.0
"admittance",1.0
"admitted",3.0
"admittedly",17.0
